"sep=,"
path,Eact,Gact,EDA_pauli,EDA_bonding,EDA_elstat,EDA_oi,AA_mulliken,AA_eldens,AA_hirshfeld,AA_voronoi,HOMO_coeff,HOMO_energy,LUMO_coeff,LUMO_energy
achiral_catalyst.Et_OEt_SnCl4.vacuum\sub_cat_complex,-0.0013552467072850405,0.016902716694723097,0.10509078856114842,-0.038996007561841975,-0.07866122753199534,-0.05106432011310136,0.12006248488788707,127.10109828173306,0.046963916908579595,0.4548619152999036,0.016634250591361054,-0.24482560786475513,0.015245143269737055,-0.1301434165393313
achiral_catalyst.Et_OEt_TiCl4.vacuum\sub_cat_complex,-0.0016073274169388085,0.017536425022483648,0.11149892786413293,-0.045550007020058285,-0.0886188033966846,-0.053182190173609104,0.11540258405322223,127.10462268961129,0.04707079995554231,0.45425706855331693,0.00534154502764181,-0.24084859836709668,0.3673655190313642,-0.1415400289398003
achiral_catalyst.Et_OEt_ZnCl2.vacuum\sub_cat_complex,-0.001204559161659624,0.01828114706500905,0.0918961947266054,-0.04093884980891638,-0.08085507440753759,-0.04325185818181574,0.09840596287560022,127.10154295248329,0.046450708492513426,0.4528299572253278,0.007059077650533076,-0.22658898179537768,0.6953828696243542,-0.11880287146312586
achiral_catalyst.Et_o-HOPh_AlF3.vacuum\sub_cat_complex,-0.004572901592678313,0.012990736478751153,0.10168270085208647,-0.08237481912497699,-0.10427952600846879,-0.07196206826177654,0.1656995737886815,127.1290074895486,0.1579025039821701,0.474001165744498,0.05599604818907654,-0.23538414245921338,0.6005097510218429,-0.15397401957252807
achiral_catalyst.Et_o-HOPh_BF3.vacuum\sub_cat_complex,-0.002814565679321035,0.018929076217828467,0.16848537804174443,-0.05639190294318509,-0.11416793155922278,-0.10398491416286158,0.18973132245379176,127.12771616017152,0.15792871593113966,0.4942490069160437,0.07132637593333464,-0.23024717649499668,0.5958707135040096,-0.14636707100667984
achiral_catalyst.Et_o-HOPh_I2.vacuum\sub_cat_complex,-0.0010156328538526438,0.016436502611286485,0.03958650511979658,-0.01766953225970199,-0.027813590053710868,-0.022275198822767253,0.16990964497757055,127.14512535589462,0.15553567841147542,0.4842638669365966,0.01895946025328794,-0.19759068524506007,0.5947657826590932,-0.12934600765641155
achiral_catalyst.Et_o-HOPh_SnCl4.vacuum\sub_cat_complex,-0.0034824380295512825,0.01670852846526749,0.10134258457991796,-0.0371510849141416,-0.07396656872401763,-0.04884287297759874,0.18888056342643367,127.13695171581165,0.1578352552665756,0.4822085559584064,0.0761691349175476,-0.22973802568465718,0.5981097432435093,-0.14449620058494325
achiral_catalyst.Et_o-HOPh_TiCl4.vacuum\sub_cat_complex,-0.00361804853724923,0.01386814234666911,0.10828927661619475,-0.04317408508369856,-0.08436178020679108,-0.05078224351909015,0.18323823397913852,127.13970696809672,0.1582298754410536,0.4882245980298956,0.0793086217530065,-0.23023694041703038,0.46567555457790294,-0.153072799868146
achiral_catalyst.Et_o-HOPh_ZnCl2.vacuum\sub_cat_complex,-0.0024679920892642926,0.017493829568373087,0.09429993362190231,-0.04151186448708362,-0.0806972564215016,-0.045105971398211,0.17305869559332976,127.13754052179469,0.1570590892297441,0.4768372602807127,0.07616062707415681,-0.22771618733617352,0.5999887900878258,-0.14275744207007127
achiral_catalyst.Et_m-HOPh_AlF3.vacuum\sub_cat_complex,-0.0005310711138530877,0.016700876661460917,0.10255982074021328,-0.08427115497620155,-0.1063237837220754,-0.07263016140672701,0.16399576181444964,127.13270848501456,0.17583054726814362,0.4761592428537842,0.00042517989846946444,-0.23234466228386644,0.5886508058213645,-0.1522883893433502
